"","y","price_ask1","price_ask2","price_ask3","price_ask4","price_ask5","volume_ask1","volume_ask2","volume_ask3","volume_ask4","volume_ask5","price_bid1","price_bid2","price_bid3","price_bid4","price_bid5","volume_bid1","volume_bid2","volume_bid3","volume_bid4","volume_bid5","spread1","spread2","spread3","spread4","spread5","mid_price1","mid_price2","mid_price3","mid_price4","mid_price5","price_diff_ask1","price_diff_ask2","price_diff_ask3","price_diff_ask4","price_diff_ask5","price_diff_bid1","price_diff_bid2","price_diff_bid3","price_diff_bid4","price_diff_bid5","price_mean_ask","price_mean_bid","volume_mean_ask","volume_mean_bid","price_accum_diff","volume_accum_diff","price_deri_ask1","price_deri_ask2","price_deri_ask3","price_deri_ask4","price_deri_ask5","volume_deri_ask1","volume_deri_ask2","volume_deri_ask3","volume_deri_ask4","volume_deri_ask5","price_deri_bid1","price_deri_bid2","price_deri_bid3","price_deri_bid4","price_deri_bid5","volume_deri_bid1","volume_deri_bid2","volume_deri_bid3","volume_deri_bid4","volume_deri_bid5","lambda_l_ask","lambda_l_bid","lambda_m_ask","lambda_m_bid","lambda_c_ask","lambda_c_bid","ind_l_ask","ind_l_bid","ind_m_ask","ind_m_bid","ind_c_ask","ind_c_bid","lambda_deri_m_a","lambda_deri_l_a","lambda_deri_m_b","lambda_deri_l_b"
"1","2",63.52,63.53,63.54,63.55,63.57,300,200,100,100,100,63.48,63.47,63.46,63.45,63.4,100,100,100,100,100,0.0400000000000063,0.0600000000000023,0.0799999999999983,0.0999999999999943,0.170000000000002,63.5,63.5,63.5,63.5,63.485,0.0499999999999972,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0200000000000031,0.0799999999999983,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0500000000000043,63.542,63.452,160,100,0.449999999999982,300,0,0,0,0,0,0,0,0,0,0,-0.0100000000000051,-0.00999999999999801,-0.00999999999999801,-0.00999999999999801,-0.0500000000000043,99,0,-100,0,-100,0,0.000666666666666667,0,0,0,0.00133333333333333,1,1,1,0,0,0,-1,-2,0,-2
"2","2",63.52,63.53,63.54,63.55,63.57,300,200,100,100,100,63.48,63.47,63.46,63.45,63.4,100,100,100,100,100,0.0400000000000063,0.0600000000000023,0.0799999999999983,0.0999999999999943,0.170000000000002,63.5,63.5,63.5,63.5,63.485,0.0499999999999972,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0200000000000031,0.0799999999999983,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0500000000000043,63.542,63.452,160,100,0.449999999999982,300,0,0,0,0,0,0,0,0,0,0,-0.0100000000000051,-0.00999999999999801,-0.00999999999999801,-0.00999999999999801,-0.0500000000000043,99,0,-100,0,-100,0,0.000666666666666667,0,0,0,0.00133333333333333,1,1,1,0,0,0,-1,-2,0,-2
"3","2",63.52,63.53,63.54,63.55,63.57,300,200,100,100,100,63.48,63.47,63.46,63.45,63.4,100,100,100,100,100,0.0400000000000063,0.0600000000000023,0.0799999999999983,0.0999999999999943,0.170000000000002,63.5,63.5,63.5,63.5,63.485,0.0499999999999972,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0200000000000031,0.0799999999999983,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0500000000000043,63.542,63.452,160,100,0.449999999999982,300,0,0,0,0,0,0,0,0,0,0,-0.0100000000000051,-0.00999999999999801,-0.00999999999999801,-0.00999999999999801,-0.0500000000000043,99,0,-100,0,-100,0,0.000666666666666667,0,0,0,0.00133333333333333,1,1,1,0,0,0,-1,-2,0,-2
"4","2",63.52,63.53,63.54,63.55,63.57,300,200,100,100,100,63.48,63.47,63.46,63.45,63.4,100,100,100,100,100,0.0400000000000063,0.0600000000000023,0.0799999999999983,0.0999999999999943,0.170000000000002,63.5,63.5,63.5,63.5,63.485,0.0499999999999972,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0200000000000031,0.0799999999999983,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0500000000000043,63.542,63.452,160,100,0.449999999999982,300,0,0,0,0,0,0,0,0,0,0,-0.0100000000000051,-0.00999999999999801,-0.00999999999999801,-0.00999999999999801,-0.0500000000000043,99,0,-100,0,-100,0,0.000666666666666667,0,0,0,0.00133333333333333,1,1,1,0,0,0,-1,-2,0,-2
"5","2",63.52,63.53,63.54,63.55,63.57,300,200,100,100,100,63.48,63.47,63.46,63.45,63.4,100,100,100,100,100,0.0400000000000063,0.0600000000000023,0.0799999999999983,0.0999999999999943,0.170000000000002,63.5,63.5,63.5,63.5,63.485,0.0499999999999972,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0200000000000031,0.0799999999999983,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0500000000000043,63.542,63.452,160,100,0.449999999999982,300,0,0,0,0,0,0,0,0,0,0,-0.0100000000000051,-0.00999999999999801,-0.00999999999999801,-0.00999999999999801,-0.0500000000000043,99,0,-100,0,-100,0,0.000666666666666667,0,0,0,0.00133333333333333,1,1,1,0,0,0,-1,-2,0,-2
"6","2",63.52,63.53,63.54,63.55,63.57,300,200,100,100,100,63.48,63.47,63.46,63.45,63.4,100,100,100,100,100,0.0400000000000063,0.0600000000000023,0.0799999999999983,0.0999999999999943,0.170000000000002,63.5,63.5,63.5,63.5,63.485,0.0499999999999972,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0200000000000031,0.0799999999999983,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0500000000000043,63.542,63.452,160,100,0.449999999999982,300,0,0,0,0,0,0,0,0,0,0,-0.0100000000000051,-0.00999999999999801,-0.00999999999999801,-0.00999999999999801,-0.0500000000000043,99,0,-100,0,-100,0,0.000666666666666667,0,0,0,0.00133333333333333,1,1,1,0,0,0,-1,-2,0,-2
"7","2",63.52,63.53,63.54,63.55,63.57,300,200,100,100,100,63.48,63.47,63.46,63.45,63.4,100,100,100,100,100,0.0400000000000063,0.0600000000000023,0.0799999999999983,0.0999999999999943,0.170000000000002,63.5,63.5,63.5,63.5,63.485,0.0499999999999972,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0200000000000031,0.0799999999999983,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0500000000000043,63.542,63.452,160,100,0.449999999999982,300,0,0,0,0,0,0,0,0,0,0,-0.0100000000000051,-0.00999999999999801,-0.00999999999999801,-0.00999999999999801,-0.0500000000000043,99,0,-100,0,-100,0,0.000666666666666667,0,0,0,0.00133333333333333,1,1,1,0,0,0,-1,-2,0,-2
"8","2",63.52,63.53,63.54,63.55,63.57,300,200,100,100,100,63.48,63.47,63.46,63.45,63.4,100,100,100,100,100,0.0400000000000063,0.0600000000000023,0.0799999999999983,0.0999999999999943,0.170000000000002,63.5,63.5,63.5,63.5,63.485,0.0499999999999972,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0200000000000031,0.0799999999999983,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0500000000000043,63.542,63.452,160,100,0.449999999999982,300,0,0,0,0,0,0,0,0,0,0,-0.0100000000000051,-0.00999999999999801,-0.00999999999999801,-0.00999999999999801,-0.0500000000000043,99,0,-100,0,-100,0,0.000666666666666667,0,0,0,0.00133333333333333,1,1,1,0,0,0,-1,-2,0,-2
"9","2",63.52,63.53,63.54,63.55,63.57,300,200,100,100,100,63.48,63.47,63.46,63.45,63.4,100,100,100,100,100,0.0400000000000063,0.0600000000000023,0.0799999999999983,0.0999999999999943,0.170000000000002,63.5,63.5,63.5,63.5,63.485,0.0499999999999972,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0200000000000031,0.0799999999999983,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0500000000000043,63.542,63.452,160,100,0.449999999999982,300,0,0,0,0,0,0,0,0,0,0,-0.0100000000000051,-0.00999999999999801,-0.00999999999999801,-0.00999999999999801,-0.0500000000000043,99,0,-100,0,-100,0,0.000666666666666667,0,0,0,0.00133333333333333,1,1,1,0,0,0,-1,-2,0,-2
"10","2",63.52,63.53,63.54,63.55,63.57,300,200,100,100,100,63.48,63.47,63.46,63.45,63.4,100,100,100,100,100,0.0400000000000063,0.0600000000000023,0.0799999999999983,0.0999999999999943,0.170000000000002,63.5,63.5,63.5,63.5,63.485,0.0499999999999972,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0200000000000031,0.0799999999999983,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0500000000000043,63.542,63.452,160,100,0.449999999999982,300,0,0,0,0,0,0,0,0,0,0,-0.0100000000000051,-0.00999999999999801,-0.00999999999999801,-0.00999999999999801,-0.0500000000000043,99,0,-100,0,-100,0,0.000666666666666667,0,0,0,0.00133333333333333,1,1,1,0,0,0,-1,-2,0,-2
"11","2",63.52,63.53,63.54,63.55,63.57,300,200,100,100,100,63.48,63.47,63.46,63.45,63.4,100,100,100,100,100,0.0400000000000063,0.0600000000000023,0.0799999999999983,0.0999999999999943,0.170000000000002,63.5,63.5,63.5,63.5,63.485,0.0499999999999972,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0200000000000031,0.0799999999999983,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0500000000000043,63.542,63.452,160,100,0.449999999999982,300,0,0,0,0,0,0,0,0,0,0,-0.0100000000000051,-0.00999999999999801,-0.00999999999999801,-0.00999999999999801,-0.0500000000000043,99,0,-100,0,-100,0,0.000666666666666667,0,0,0,0.00133333333333333,1,1,1,0,0,0,-1,-2,0,-2
"12","2",63.52,63.53,63.54,63.55,63.57,300,200,100,100,100,63.48,63.47,63.46,63.45,63.4,100,100,100,100,100,0.0400000000000063,0.0600000000000023,0.0799999999999983,0.0999999999999943,0.170000000000002,63.5,63.5,63.5,63.5,63.485,0.0499999999999972,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0200000000000031,0.0799999999999983,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0500000000000043,63.542,63.452,160,100,0.449999999999982,300,0,0,0,0,0,0,0,0,0,0,-0.0100000000000051,-0.00999999999999801,-0.00999999999999801,-0.00999999999999801,-0.0500000000000043,99,0,-100,0,-100,0,0.000666666666666667,0,0,0,0.00133333333333333,1,1,1,0,0,0,-1,-2,0,-2
"13","2",63.52,63.53,63.54,63.55,63.57,300,200,100,100,100,63.48,63.47,63.46,63.45,63.4,100,100,100,100,100,0.0400000000000063,0.0600000000000023,0.0799999999999983,0.0999999999999943,0.170000000000002,63.5,63.5,63.5,63.5,63.485,0.0499999999999972,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0200000000000031,0.0799999999999983,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0500000000000043,63.542,63.452,160,100,0.449999999999982,300,0,0,0,0,0,0,0,0,0,0,-0.0100000000000051,-0.00999999999999801,-0.00999999999999801,-0.00999999999999801,-0.0500000000000043,99,0,-100,0,-100,0,0.000666666666666667,0,0,0,0.00133333333333333,1,1,1,0,0,0,-1,-2,0,-2
"14","2",63.52,63.53,63.54,63.55,63.57,300,200,100,100,100,63.48,63.47,63.46,63.45,63.4,100,100,100,100,100,0.0400000000000063,0.0600000000000023,0.0799999999999983,0.0999999999999943,0.170000000000002,63.5,63.5,63.5,63.5,63.485,0.0499999999999972,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0200000000000031,0.0799999999999983,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0500000000000043,63.542,63.452,160,100,0.449999999999982,300,0,0,0,0,0,0,0,0,0,0,-0.0100000000000051,-0.00999999999999801,-0.00999999999999801,-0.00999999999999801,-0.0500000000000043,99,0,-100,0,-100,0,0.000666666666666667,0,0,0,0.00133333333333333,1,1,1,0,0,0,-1,-2,0,-2
"15","2",63.52,63.53,63.54,63.55,63.57,300,200,100,100,100,63.48,63.47,63.46,63.45,63.4,100,100,100,100,100,0.0400000000000063,0.0600000000000023,0.0799999999999983,0.0999999999999943,0.170000000000002,63.5,63.5,63.5,63.5,63.485,0.0499999999999972,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0200000000000031,0.0799999999999983,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0500000000000043,63.542,63.452,160,100,0.449999999999982,300,0,0,0,0,0,0,0,0,0,0,-0.0100000000000051,-0.00999999999999801,-0.00999999999999801,-0.00999999999999801,-0.0500000000000043,99,0,-100,0,-100,0,0.000666666666666667,0,0,0,0.00133333333333333,1,1,1,0,0,0,-1,-2,0,-2
"16","2",63.52,63.53,63.54,63.55,63.57,300,200,100,100,100,63.48,63.47,63.46,63.45,63.4,100,100,100,100,100,0.0400000000000063,0.0600000000000023,0.0799999999999983,0.0999999999999943,0.170000000000002,63.5,63.5,63.5,63.5,63.485,0.0499999999999972,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0200000000000031,0.0799999999999983,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0500000000000043,63.542,63.452,160,100,0.449999999999982,300,0,0,0,0,0,0,0,0,0,0,-0.0100000000000051,-0.00999999999999801,-0.00999999999999801,-0.00999999999999801,-0.0500000000000043,99,0,-100,0,-100,0,0.000666666666666667,0,0,0,0.00133333333333333,1,1,1,0,0,0,-1,-2,0,-2
